    nm         	nN
3.047815e+002	-8.893274e-002
3.046248e+002	-8.246491e-002
3.042057e+002	-9.540058e-002
3.038521e+002	-1.034854e-001
3.039143e+002	-8.084795e-002
3.035389e+002	-9.054970e-002
3.031853e+002	-9.863450e-002
3.029631e+002	-9.701754e-002
3.027408e+002	-9.540058e-002
3.026498e+002	-8.408187e-002
3.023400e+002	-8.893274e-002
3.020959e+002	-8.893274e-002
3.016986e+002	-1.002515e-001
3.015420e+002	-9.378362e-002
3.012322e+002	-9.863450e-002
3.011412e+002	-8.731579e-002
3.010065e+002	-7.923099e-002
3.007185e+002	-8.246491e-002
3.002556e+002	-9.863450e-002
3.001209e+002	-9.054970e-002
2.997017e+002	-1.034854e-001
2.996545e+002	-8.893274e-002
2.994978e+002	-8.246491e-002
2.989474e+002	-1.051023e-001
2.987908e+002	-9.863450e-002
2.987217e+002	-8.569882e-002
2.982150e+002	-1.051023e-001
2.981459e+002	-9.216666e-002
2.978580e+002	-9.540058e-002
2.975919e+002	-9.701754e-002
2.971290e+002	-1.131871e-001
2.970599e+002	-1.002515e-001
2.969252e+002	-9.216666e-002
2.967904e+002	-8.408187e-002
2.964806e+002	-8.893274e-002
2.959083e+002	-1.131871e-001
2.958392e+002	-1.002515e-001
2.958576e+002	-8.084795e-002
2.954603e+002	-9.216666e-002
2.951943e+002	-9.378362e-002
2.949501e+002	-9.378362e-002
2.946185e+002	-1.002515e-001
2.945712e+002	-8.569882e-002
2.942177e+002	-9.378362e-002
2.939736e+002	-9.378362e-002
2.937950e+002	-8.893274e-002
2.933321e+002	-1.051023e-001
2.931098e+002	-1.034854e-001
2.929313e+002	-9.863450e-002
2.927966e+002	-9.054970e-002
2.925524e+002	-9.054970e-002
2.923302e+002	-8.893274e-002
2.921736e+002	-8.246491e-002
2.917544e+002	-9.540058e-002
2.916196e+002	-8.731579e-002
2.912880e+002	-9.378362e-002
2.909126e+002	-1.034854e-001
2.907559e+002	-9.701754e-002
2.904024e+002	-1.051023e-001
2.901583e+002	-1.051023e-001
2.900235e+002	-9.701754e-002
2.900419e+002	-7.761403e-002
2.895352e+002	-9.701754e-002
2.894661e+002	-8.408187e-002
2.893751e+002	-7.276316e-002
2.887591e+002	-1.002515e-001
2.884493e+002	-1.051023e-001
2.881614e+002	-1.083362e-001
2.880704e+002	-9.701754e-002
2.878262e+002	-9.701754e-002
2.876477e+002	-9.216666e-002
2.873379e+002	-9.701754e-002
2.870938e+002	-9.701754e-002
2.869591e+002	-8.893274e-002
2.866493e+002	-9.378362e-002
2.864051e+002	-9.378362e-002
2.861391e+002	-9.540058e-002
2.859606e+002	-9.054970e-002
2.856508e+002	-9.540058e-002
2.853848e+002	-9.701754e-002
2.851625e+002	-9.540058e-002
2.847871e+002	-1.051023e-001
2.844992e+002	-1.083362e-001
2.842551e+002	-1.083362e-001
2.839891e+002	-1.099532e-001
2.838543e+002	-1.018684e-001
2.837415e+002	-9.216666e-002
2.835629e+002	-8.731579e-002
2.832750e+002	-9.054970e-002
2.829434e+002	-9.701754e-002
